category,num_columns,columns,file_size_mb,last_updated,description
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",336.20446766934975,2024-04-15 10:41:24.160954,"Tech research in AI, conducted 290 experiments with 23.00% success rate"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",756.4306919860259,2023-10-20 10:41:24.141954,"Ecological study in ocean environment, observing 348 species, temperature range: 27°C to 14°C"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",174.51738357367128,2024-05-16 10:41:24.156954,"Educational dataset with 500 students, average score of 80.49, covering literature, literature, literature, literature"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",422.2459924135263,2024-06-19 10:41:24.153954,"Medical study with 905 patients, 60.43% efficacy rate, testing painkiller"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",814.6264882574956,2023-12-26 10:41:24.145954,"Ecological study in mountain environment, observing 151 species, temperature range: 6°C to 44°C"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",454.77661007772167,2024-03-19 10:41:24.163952,"Ecological study in ocean environment, observing 556 species, temperature range: 5°C to 14°C"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",520.8482436661791,2024-04-19 10:41:24.188954,"Tech research in quantum computing, conducted 181 experiments with 84.64% success rate"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",1.6489053763367747,2023-10-03 10:41:24.144954,"Educational dataset with 896 students, average score of 80.77, covering history, math, history, literature"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",295.6584324213401,2024-08-24 10:41:24.162954,"Tech research in renewable energy, conducted 309 experiments with 35.43% success rate"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",591.9804358991809,2024-01-25 10:41:24.168953,"Educational dataset with 257 students, average score of 99.92, covering science, literature, literature, history"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",247.03527834569866,2024-07-11 10:41:24.150953,"Educational dataset with 356 students, average score of 61.67, covering literature, math, math"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",916.6480125124219,2024-03-05 10:41:24.154953,"Medical study with 2995 patients, 69.97% efficacy rate, testing antibiotic"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",549.2752009191083,2024-04-11 10:41:24.182954,"Ecological study in forest environment, observing 464 species, temperature range: 20°C to 20°C"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",490.51255980025024,2024-07-05 10:41:24.160954,"Ecological study in desert environment, observing 253 species, temperature range: -3°C to 6°C"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",38.32595549913835,2024-01-28 10:41:24.136954,"Ecological study in ocean environment, observing 821 species, temperature range: 32°C to 21°C"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",224.24168928555514,2024-05-12 10:41:24.172951,"Ecological study in forest environment, observing 661 species, temperature range: 37°C to 13°C"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",452.2120757178408,2023-12-22 10:41:24.141954,"Ecological study in ocean environment, observing 298 species, temperature range: -8°C to 10°C"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",240.7276119111304,2024-07-05 10:41:24.135951,"Medical study with 3801 patients, 89.78% efficacy rate, testing antiviral"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",601.974315693002,2024-06-21 10:41:24.139954,"Medical study with 1101 patients, 62.51% efficacy rate, testing painkiller"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",345.87314019147846,2024-08-05 10:41:24.183953,"Medical study with 2224 patients, 92.56% efficacy rate, testing painkiller"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",752.1330806123676,2024-03-09 10:41:24.152954,"Educational dataset with 918 students, average score of 74.67, covering literature"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",278.4750819045015,2024-02-15 10:41:24.143954,"Tech research in renewable energy, conducted 852 experiments with 46.82% success rate"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",854.5001393942863,2024-02-10 10:41:24.171954,"Medical study with 149 patients, 59.15% efficacy rate, testing antibiotic"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",510.82960449692143,2023-11-24 10:41:24.150953,"Medical study with 4039 patients, 65.46% efficacy rate, testing vaccine"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",447.7953998288065,2024-01-16 10:41:24.172951,"Tech research in AI, conducted 617 experiments with 50.72% success rate"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",792.4034784260908,2024-09-12 10:41:24.183953,"Medical study with 2485 patients, 71.94% efficacy rate, testing antiviral"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",926.6396577476041,2024-04-17 10:41:24.170954,"Ecological study in forest environment, observing 316 species, temperature range: 24°C to 35°C"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",458.1068034187511,2023-11-01 10:41:24.164955,"Ecological study in desert environment, observing 155 species, temperature range: 13°C to 2°C"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",114.46738421949729,2023-12-09 10:41:24.161954,"Medical study with 630 patients, 51.58% efficacy rate, testing antibiotic"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",808.3451805951117,2024-04-05 10:41:24.170954,"Tech research in AI, conducted 754 experiments with 75.54% success rate"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",930.5649716443643,2023-12-22 10:41:24.145954,"Tech research in quantum computing, conducted 77 experiments with 60.20% success rate"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",615.6441212780258,2024-03-11 10:41:24.176954,"Ecological study in mountain environment, observing 523 species, temperature range: 25°C to 4°C"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",390.5048940757412,2024-02-04 10:41:24.169954,"Medical study with 1028 patients, 55.59% efficacy rate, testing antiviral"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",987.9955030579412,2024-05-21 10:41:24.150953,"Medical study with 2522 patients, 76.68% efficacy rate, testing antibiotic"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",107.43827607129067,2024-03-21 10:41:24.187955,"Educational dataset with 498 students, average score of 79.19, covering science, history, science, math"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",982.7302474189402,2024-06-05 10:41:24.188954,"Ecological study in ocean environment, observing 691 species, temperature range: -13°C to 45°C"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",63.23106464461246,2023-11-28 10:41:24.165954,"Tech research in quantum computing, conducted 982 experiments with 73.61% success rate"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",504.52139043714755,2023-11-10 10:41:24.161954,"Ecological study in ocean environment, observing 424 species, temperature range: 4°C to 11°C"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",673.5141071700882,2024-06-04 10:41:24.145954,"Tech research in AI, conducted 507 experiments with 65.22% success rate"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",108.84387130395375,2024-03-22 10:41:24.175953,"Educational dataset with 583 students, average score of 77.62, covering science, history, history, science"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",604.7497757747525,2024-07-05 10:41:24.146953,"Tech research in quantum computing, conducted 872 experiments with 49.83% success rate"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",104.83377874721917,2024-05-02 10:41:24.139954,"Tech research in AI, conducted 932 experiments with 82.93% success rate"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",306.61600468831443,2023-10-25 10:41:24.173954,"Tech research in renewable energy, conducted 871 experiments with 43.93% success rate"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",213.46227486054852,2023-12-20 10:41:24.151953,"Educational dataset with 667 students, average score of 76.24, covering science, literature, science"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",960.7017086666668,2024-04-02 10:41:24.175953,"Educational dataset with 129 students, average score of 72.72, covering history, science, science"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",219.1980961959409,2024-03-18 10:41:24.150953,"Educational dataset with 145 students, average score of 61.88, covering literature, math, math"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",458.64039388647296,2024-08-04 10:41:24.161954,"Tech research in AI, conducted 851 experiments with 38.99% success rate"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",695.5361873594377,2024-06-06 10:41:24.173954,"Educational dataset with 277 students, average score of 91.70, covering science, math, literature, literature"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",276.29109873723684,2024-01-11 10:41:24.153954,"Ecological study in forest environment, observing 42 species, temperature range: 25°C to 48°C"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",262.5351824377163,2023-10-15 10:41:24.168953,"Ecological study in ocean environment, observing 859 species, temperature range: 13°C to 33°C"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",391.9076410937142,2024-05-04 10:41:24.138954,"Tech research in renewable energy, conducted 627 experiments with 35.08% success rate"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",853.3075477192072,2024-03-15 10:41:24.171954,"Educational dataset with 701 students, average score of 77.25, covering literature, science, history"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",316.7321785867101,2024-02-11 10:41:24.134954,"Tech research in robotics, conducted 407 experiments with 34.31% success rate"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",981.6804121106067,2024-05-15 10:41:24.167954,"Ecological study in ocean environment, observing 576 species, temperature range: -7°C to 42°C"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",752.3658155850194,2024-09-11 10:41:24.185954,"Tech research in renewable energy, conducted 484 experiments with 70.42% success rate"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",323.14638180443114,2023-11-24 10:41:24.178953,"Medical study with 261 patients, 84.90% efficacy rate, testing painkiller"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",51.60090357633019,2024-02-27 10:41:24.143954,"Medical study with 2818 patients, 67.99% efficacy rate, testing painkiller"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",167.78291485756108,2024-06-14 10:41:24.182954,"Tech research in AI, conducted 583 experiments with 33.30% success rate"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",46.158742757440535,2024-09-17 10:41:24.176954,"Ecological study in desert environment, observing 817 species, temperature range: 30°C to 24°C"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",992.0186703494462,2023-11-09 10:41:24.147953,"Medical study with 4892 patients, 55.78% efficacy rate, testing vaccine"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",846.182367147946,2024-08-27 10:41:24.141954,"Medical study with 3791 patients, 90.75% efficacy rate, testing vaccine"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",105.2959033459344,2024-02-11 10:41:24.144954,"Tech research in AI, conducted 170 experiments with 58.40% success rate"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",420.99551152580375,2024-08-24 10:41:24.154953,"Educational dataset with 28 students, average score of 67.63, covering science, history, history, math"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",351.4534020298847,2024-05-20 10:41:24.162954,"Medical study with 1586 patients, 53.81% efficacy rate, testing antibiotic"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",743.3125544378374,2024-02-14 10:41:24.146953,"Medical study with 3484 patients, 91.29% efficacy rate, testing antiviral"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",547.0041331743407,2024-02-18 10:41:24.141954,"Educational dataset with 320 students, average score of 92.97, covering science"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",552.1758676408361,2024-08-27 10:41:24.139954,"Ecological study in mountain environment, observing 389 species, temperature range: 1°C to 22°C"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",963.772170860425,2024-09-25 10:41:24.160954,"Ecological study in mountain environment, observing 593 species, temperature range: -6°C to 45°C"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",524.8562618685361,2024-09-06 10:41:24.141954,"Ecological study in forest environment, observing 502 species, temperature range: 18°C to 14°C"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",989.8676481425242,2024-04-13 10:41:24.159954,"Educational dataset with 156 students, average score of 65.19, covering history, math, science, math"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",36.03677395066328,2023-10-07 10:41:24.146953,"Ecological study in forest environment, observing 938 species, temperature range: 6°C to 24°C"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",400.2370945191486,2024-02-12 10:41:24.150953,"Medical study with 1791 patients, 70.14% efficacy rate, testing painkiller"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",230.32654399359248,2024-08-17 10:41:24.156954,"Educational dataset with 686 students, average score of 99.45, covering literature, math"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",356.8602913038179,2023-11-02 10:41:24.169954,"Ecological study in ocean environment, observing 948 species, temperature range: 6°C to 23°C"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",264.14065701483037,2024-01-08 10:41:24.180953,"Tech research in renewable energy, conducted 825 experiments with 57.87% success rate"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",273.194279574317,2024-07-13 10:41:24.147953,"Ecological study in ocean environment, observing 981 species, temperature range: 6°C to 22°C"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",426.23108633190117,2023-11-22 10:41:24.153954,"Educational dataset with 818 students, average score of 62.72, covering math"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",410.3496545373805,2024-09-09 10:41:24.145954,"Tech research in renewable energy, conducted 17 experiments with 79.45% success rate"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",882.3860309757501,2023-12-20 10:41:24.141954,"Tech research in robotics, conducted 108 experiments with 13.92% success rate"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",157.6888321531988,2024-02-16 10:41:24.174954,"Ecological study in forest environment, observing 601 species, temperature range: -1°C to 27°C"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",540.4385676502716,2023-11-08 10:41:24.184953,"Tech research in AI, conducted 526 experiments with 31.12% success rate"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",405.85381741728816,2024-09-17 10:41:24.174954,"Ecological study in desert environment, observing 896 species, temperature range: 36°C to 44°C"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",98.50187676029293,2024-04-11 10:41:24.141954,"Medical study with 746 patients, 94.09% efficacy rate, testing antibiotic"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",702.8011920219819,2024-05-15 10:41:24.145954,"Tech research in AI, conducted 82 experiments with 65.05% success rate"
Drugs and Medicine,9,"id, date, value, patient_id, drug_name, dosage, side_effects, efficacy, treatment_duration",137.8321754955414,2024-05-03 10:41:24.172951,"Medical study with 1368 patients, 59.97% efficacy rate, testing antibiotic"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",43.37532249409348,2024-04-21 10:41:24.170954,"Ecological study in ocean environment, observing 881 species, temperature range: 38°C to 26°C"
Earth and Nature,9,"id, date, value, latitude, longitude, temperature, humidity, species, habitat_type",372.3544764283668,2023-10-25 10:41:24.154953,"Ecological study in ocean environment, observing 304 species, temperature range: -9°C to 46°C"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",220.5106403292184,2023-10-18 10:41:24.142954,"Tech research in quantum computing, conducted 229 experiments with 49.29% success rate"
Science and Technology,9,"id, date, value, experiment_id, voltage, current, resistance, frequency, wavelength",940.341462157104,2024-05-03 10:41:24.159954,"Tech research in AI, conducted 23 experiments with 35.86% success rate"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",831.5787154667325,2024-02-24 10:41:24.144954,"Educational dataset with 856 students, average score of 95.18, covering literature, history, math, literature"
Education,9,"id, date, value, student_id, grade, subject, score, attendance, teacher_id",841.1923534273332,2023-11-04 10:41:24.177953,"Educational dataset with 257 students, average score of 63.79, covering science, science, math"
